sector_id,to_node,Industry,unit,2025,2030,2040,2050,2025_sd,2030_sd,2040_sd,2050_sd,costs
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,eur_t_bricks_eq,0.07155677434121502,0.06830357652437392,0.06505301530963649,0.06180120172067745,0.013596260015202118,0.012961825666618059,0.012335706584406848,0.01170136112896294,fom
chemical,other-chemicals,other-chemicals-production-alternative,eur_t_ethylene_eq,1.0359572417287117,1.0244197639093253,1.0126618429967682,1.0011355489314115,0.21741365361828444,0.21741498907364706,0.21749554128920484,0.2176836359006325,fom
chemical,pharmaceuticals,pharmaceuticals-production-alternative,eur_t_ethylene_eq,0.9549724731793291,0.9414602609088957,0.927226119195467,0.9137396678508586,0.4567903786938331,0.450541145078556,0.4442265548104227,0.438430211367251,fom
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,eur_mwh,0.28983776833585406,0.2770642391791269,0.2641082479826189,0.25134541878720923,0.00831151471358845,0.00788558871334359,0.007483022369682164,0.007056832014973059,fom
machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,eur_mwh,0.23848783184428607,0.2293649845189865,0.22004151586419857,0.21092823019889184,0.01019623980311898,0.009616470994853682,0.009189811055892238,0.008722556066701059,fom
non-ferrous-metals,alumina,alumina-production-alternative,eur_t,0.688649593247437,0.6786771028887676,0.6688511389137101,0.6588791115724796,0.1264293480546882,0.1251708902947311,0.12396581627079359,0.12276138414574621,fom
non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,eur_t,2.1962230609389795,2.0931452718780315,1.9916950736644747,1.888618983237085,0.17995449125356197,0.17149322102645032,0.16317265691895697,0.15471147769642357,fom
non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,eur_t,0.2529746555405627,0.2410994195813584,0.22941266221281975,0.21753759547560672,0.04482123733188054,0.042717658807908974,0.04064726495182745,0.03854372263339541,fom
non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,eur_t_lead_eq,0.5074335576570832,0.4836188962313305,0.46017967198963045,0.43636541924480793,0.10030288953207576,0.09558790398893838,0.0909507779657975,0.08623579177010082,fom
other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,eur_mwh,0.343591742881803,0.32772344848130125,0.3119863206344767,0.29612154778036076,0.011906998744117707,0.011326415935779993,0.01076521532417009,0.010184975585167332,fom
pulp-and-paper,paper,paper-production-alternative,eur_t,0.18827633557775558,0.18469763865922043,0.1787411699873872,0.1752290007205395,0.04928143495191721,0.04831607666279769,0.04674206791468871,0.045793856104386084,fom
pulp-and-paper,printing-and-media,printing-and-media-production-alternative,eur_t_paper_eq,0.22675919720705984,0.21726475184244615,0.2073885881933897,0.197908815729723,0.04535608666325381,0.0432803377844084,0.04121502208838572,0.03914880530241896,fom
pulp-and-paper,pulp,pulp-production-alternative,eur_t,0.49778774346642995,0.4744945145497911,0.45153667610908643,0.4282447159524676,0.19055393127447506,0.18163431597146,0.1728444942025652,0.16392533743183782,fom
textiles-and-leather,leather-and-textile,leather-and-textile-production-alternative,eur_mwh,0.1522431947340771,0.14741247283535308,0.1415863856634364,0.13678500485851877,0.016026889338732846,0.015031451865369482,0.014164349431892858,0.013165884589271166,fom
transport-equipment,transport-equipment,transport-equipment-production-alternative,eur_mwh,0.23594819056943794,0.22681689226642257,0.2174816053447902,0.20835996442943758,0.013243479601082181,0.012378292868162236,0.011693358339676873,0.010910786718491567,fom
wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-alternative,eur_mwh,0.16723822441837186,0.16155279118593,0.15495536691386758,0.14929738081063307,0.03844574568449354,0.03617548333528232,0.034156784519008256,0.03188083801152493,fom
